Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Fall 2026 Semester,202710,14054,PHIL,1160,Introduction to Economic Justice,08,"Stubbs, Alec",TR,1500 - 1640,OAK,Graduate School of Business 118,Traditional,4,39,40
Fall 2026 Semester,202710,16189,PHIL,2325,Ancient Philosophy and Political Thought,06,"Gupta, Jay",TF,1035 - 1215,OAK,Education Department 101,Traditional,4,15,15
Fall 2026 Semester,202710,24100,PHIL,2325,Ancient Philosophy and Political Thought,08,"Stubbs, Alec",MWF,1500 - 1605,OAK,Graduate School of Business 125,Traditional,4,15,15
Fall 2026 Semester,202710,12905,PHYS,1151,Physics for Engineering 1,30,"Holcomb, Michael",MW,1150 - 1330,OAK,Natural Science 213,Traditional,3,22,46
Fall 2026 Semester,202710,12906,PHYS,1152,Lab for PHYS 1151,30,"Holcomb, Michael",F,0730 - 1020,OAK,Natural Science 105,Traditional,1,7,24
Fall 2026 Semester,202710,20560,PHYS,1152,Lab for PHYS 1151,31,"Holcomb, Michael",W,1400 - 1700,OAK,Natural Science 105,Traditional,1,15,22
Fall 2026 Semester,202710,12907,PHYS,1153,Interactive Learning Seminar for PHYS 1151,30,"Holcomb, Michael",M,0800 - 1020,OAK,Natural Science 213,Traditional,1,22,46
Fall 2026 Semester,202710,12926,POLS,1150,American Government,30,"Lageson, Sarah",MW,1150 - 1330,OAK,Graduate School of Business 109,Traditional,4,29,30
Fall 2026 Semester,202710,16202,POLS,2325,Ancient Philosophy and Political Thought,06,"Gupta, Jay",TF,1035 - 1215,OAK,Education Department 101,Traditional,4,9,15
Fall 2026 Semester,202710,24092,POLS,2325,Ancient Philosophy and Political Thought,07,"Stubbs, Alec",MWF,1500 - 1605,OAK,Graduate School of Business 125,Traditional,4,16,15
Fall 2026 Semester,202710,12902,PSYC,1101,Foundations of Psychology,20,"Morier, Dean",TF,1225 - 1405,OAK,Mills Hall 133,Traditional,4,35,35
Fall 2026 Semester,202710,22163,PSYC,1101,Foundations of Psychology,21,"Bachen, Elizabeth",TF,1035 - 1215,OAK,Natural Science 213,Traditional,4,35,35
Fall 2026 Semester,202710,12922,PSYC,1101,Foundations of Psychology,22,"Scott, Terri",TR,1500 - 1640,OAK,Lucie Stern 107,Traditional,4,34,35
Fall 2026 Semester,202710,12923,PSYC,1101,Foundations of Psychology,23,"Tang, Xiangyun",MW,1150 - 1330,OAK,Mills Hall 133,Traditional,4,34,35
Fall 2026 Semester,202710,14112,PSYC,2320,Statistics in Psychological Research,20,"Tang, Xiangyun",MWR,1335 - 1440,OAK,Mills Hall 135,Traditional,4,8,17
Fall 2026 Semester,202710,22164,PSYC,3402,Social Psychology,02,"Morier, Dean",MW,1150 - 1330,OAK,Education Department 101,Traditional,4,21,35
Fall 2026 Semester,202710,22165,PSYC,3404,Developmental Psychology,10,"Tang, Xiangyun",R; T,1150 - 1330; 0845 - 1025,OAK; OAK,Mills Hall 133; Mills Hall 133,Traditional,4,26,35
Fall 2026 Semester,202710,24968,PSYC,3406,Clinical Psychology and Mental Health,04,"Bachen, Elizabeth",WF,0845 - 1025,OAK,Lucie Stern 035,Traditional,4,17,25
Fall 2026 Semester,202710,12972,PSYC,3458,Biological Psychology,20,"Scott, Terri",MWR,1335 - 1440,OAK,Mills Hall 133,Traditional,4,10,35
Fall 2026 Semester,202710,22196,PPUA,5263,Geographic Information Systems for Urban and Regional Policy,04,"Henderson, Mark",R,1730 - 2050,OAK,Graduate School of Business 124,Traditional,4,6,20
Fall 2026 Semester,202710,22200,PPUA,6500,Principles of Public Administration,05,"Johnson, Martha",W,1730 - 2050,OAK,Graduate School of Business 124,Traditional,4,9,20
Fall 2026 Semester,202710,18366,PPUA,6506,Techniques of Policy Analysis,04,"Adams, Ashley",R,1730 - 2050,OAK,Graduate School of Business 110,Traditional,4,9,20
Fall 2026 Semester,202710,22201,PPUA,7673,Capstone in Public Policy and Urban Affairs,04,"Parker, Adam",M,1730 - 2050,OAK,Graduate School of Business 124,Traditional,4,3,20
Fall 2026 Semester,202710,14004,PHTH,1260,The U.S. Healthcare System,30,"Jaime, Maria Catrina",R; T,1150 - 1330; 0845 - 1025,OAK; OAK,Education Department 101; CPM 101,Traditional,4,35,35
Fall 2026 Semester,202710,14007,PHTH,1260,The U.S. Healthcare System,31,"Jaime, Maria Catrina",TR,1500 - 1640,OAK,Mills Hall 133,Traditional,4,35,35
Fall 2026 Semester,202710,15127,SOCL,1101,Introduction to Sociology,20,"Montes, Vince",TR,1500 - 1640,OAK,Lucie Stern 035,Traditional,4,25,25
Fall 2026 Semester,202710,14025,SOCL,1102,"Sex, Gender, and Popular Culture",32,TBA,TF,1035 - 1215,OAK,Lucie Stern 014,Traditional,4,18,19
Fall 2026 Semester,202710,15129,SOCL,1246,Environment and Society,03,"Brown, Timothy",MW,1150 - 1330,OAK,Vera Long 140,Traditional,4,18,19
