Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Spring 2026 Semester,202630,39800,ECON,2315,Macroeconomic Theory,13,TBA,TF,1035 - 1215,TBA,TBA,Traditional,4,12,35
Spring 2026 Semester,202630,34054,ECON,2316,Microeconomic Theory,12,"LI, Seamus",MR,0845 - 1025,TBA,TBA,Traditional,4,12,35
Spring 2026 Semester,202630,39554,EDUT,6303,Field Experience 2: Educational Leadership,01,"Bauer, Natalee",R,1530 - 1710,TBA,TBA,Traditional,2,1,10
Spring 2026 Semester,202630,39553,EDUT,6305,Human Resource Management in Education,01,"Galguera, Tomas",M,1715 - 2035,OAK,Education Department 106,Traditional,4,3,10
Spring 2026 Semester,202630,39551,EDUT,6306,School Leadership,01,"Wright, Dana",T,1715 - 2035,TBA,TBA,Traditional,4,2,10
Spring 2026 Semester,202630,39552,EDUT,6307,Fiscal and Business Services,01,"Collins, Kevin",W,1715 - 2035,OAK,Education Department 106,Traditional,4,1,10
Spring 2026 Semester,202630,40125,EECE,5698,ST: Tapeout a CMOS Chip,05,"Nagulu, Aravind",MW,1150 - 1330,TBA,TBA,Traditional,4,4,10
Spring 2026 Semester,202630,40312,EECE,7247,Radio Frequency Integrated Circuit Design,02,"Onabajo, Marvin",TF,0650 - 0830,OAK,Mills Hall 133,Live Cast,4,1,10
Spring 2026 Semester,202630,40464,EECE,7353,VLSI Design,01,"Kim, Yong-Bin",TF,1225 - 1405,TBA,TBA,Live Cast,4,2,10
Spring 2026 Semester,202630,36843,ENCP,6000,Career Management for Engineers,30,"Hatzievgenakis, Erica",M,1335 - 1515,TBA,TBA,Traditional,1,2,34
Spring 2026 Semester,202630,35705,ENGL,2460,Multiethnic Literatures of the U.S.,31,"Guidotti-Hernandez, Nicole",MW,1150 - 1330,TBA,TBA,Traditional,4,1,19
Spring 2026 Semester,202630,33310,ENGW,1102,First-Year Writing for Multilingual Writers,30,"Handler, Hayes",TF,1035 - 1215,OAK,Lucie Stern 006,Traditional,4,3,15
Spring 2026 Semester,202630,32807,ENGW,1111,First-Year Writing,301,"Handler, Hayes",R; T,1150 - 1330; 0845 - 1025,OAK; OAK,Lucie Stern 006; Lucie Stern 006,Traditional,4,11,17
Spring 2026 Semester,202630,32808,ENGW,1111,First-Year Writing,302,"Strychacz, Thomas",MWR,1035 - 1140,TBA,TBA,Traditional,4,17,19
Spring 2026 Semester,202630,32793,ENGW,1111,First-Year Writing,303,"Ito, Susan",TR,1500 - 1640,TBA,TBA,Traditional,4,18,19
Spring 2026 Semester,202630,33313,ENGW,1111,First-Year Writing,304,"Strychacz, Thomas",MWR,1335 - 1440,TBA,TBA,Traditional,4,19,19
Spring 2026 Semester,202630,33314,ENGW,1111,First-Year Writing,305,"Hanley Cardozo, Kristen",MWR,1035 - 1140,TBA,TBA,Traditional,4,18,19
Spring 2026 Semester,202630,33315,ENGW,1111,First-Year Writing,306,"Saxton, Kirsten",MW,1150 - 1330,TBA,TBA,Traditional,4,19,19
Spring 2026 Semester,202630,32156,ENGW,1111,First-Year Writing,308,"Reiss, Kathryn",TF,1035 - 1215,OAK,Graduate School of Business 110,Traditional,4,6,19
Spring 2026 Semester,202630,32157,ENGW,1111,First-Year Writing,309,"Abinader, Elmaz",TF,1225 - 1405,OAK,Graduate School of Business 110,Traditional,4,19,19
Spring 2026 Semester,202630,32824,ENGW,1111,First-Year Writing,310,"Powell, Patricia",TR,1650 - 1830,OAK,Graduate School of Business 110,Traditional,4,6,19
Spring 2026 Semester,202630,33458,ENGW,1111,First-Year Writing,311,"Young, Stephanie",R; T,1150 - 1330; 0845 - 1025,TBA,TBA,Traditional,4,14,19
Spring 2026 Semester,202630,32806,ENGW,1111,First-Year Writing,312,"Abinader, Elmaz",TF,1035 - 1215,TBA,TBA,Traditional,4,14,19
Spring 2026 Semester,202630,33865,ENGW,1111,First-Year Writing,313,"Powell, Patricia",TR,1500 - 1640,TBA,TBA,Traditional,4,4,19
Spring 2026 Semester,202630,33866,ENGW,1111,First-Year Writing,314,"Crain, Abigail",R; T,1150 - 1330; 0845 - 1025,TBA,TBA,Traditional,4,10,19
Spring 2026 Semester,202630,34210,ENGW,1111,First-Year Writing,315,"Reiss, Kathryn",TF,1225 - 1405,TBA,TBA,Traditional,4,5,19
Spring 2026 Semester,202630,33266,ENTR,2303,Marketing Strategies for Startups,03,"Singh, Ravinder",F,0845 - 1200,TBA,TBA,Traditional,4,10,25
Spring 2026 Semester,202630,39163,ENTR,3945,New Venture Development: Startup Immersion,01,"Zafar, Naeem",W,1225 - 1320,TBA,TBA,Traditional,4,21,25
Spring 2026 Semester,202630,39812,ENTR,4983,Special Topics in Entrepreneurship,01,"Gollu, Aleks",TF,1225 - 1405,TBA,TBA,Traditional,4,0,25
Spring 2026 Semester,202630,33316,FINA,2201,Financial Management,30,"Thomas, Oommen",TF,1225 - 1405,TBA,TBA,Traditional,4,42,40
Spring 2026 Semester,202630,34136,FINA,2201,Financial Management,31,"Thomas, Oommen",WF,0845 - 1025,TBA,TBA,Traditional,4,24,40
Spring 2026 Semester,202630,34135,FINA,2201,Financial Management,32,"Thomas, Oommen",TR,1500 - 1640,TBA,TBA,Traditional,4,36,40
Spring 2026 Semester,202630,32678,FINA,3303,Investments,09,"Zafar, Naeem",W,0845 - 1200,TBA,TBA,Traditional,4,21,25
Spring 2026 Semester,202630,31574,FINA,4610,Entrepreneurial Finance and Private Equity,03,"Ruparel, Jay; Hoodbhoy, Faraz",W,1335 - 1650,TBA,TBA,Traditional,4,14,24
Spring 2026 Semester,202630,39536,GSND,6320,Psychology of Play,30,"Mathe, Nathalie",WF,1035 - 1215,TBA,TBA,Traditional,4,5,12
Spring 2026 Semester,202630,39537,GSND,6460,Generative Game Design,30,"Wren, William",R,1035 - 1435,XCR,Unidentified campus ROOM,Traditional,4,4,12
Spring 2026 Semester,202630,39538,GSND,6520,3D Modeling and Asset Creation Principles,30,"Phan, Van",W,1335 - 1705,XCR,Unidentified campus ROOM,Traditional,4,4,12
Spring 2026 Semester,202630,39539,GSND,7980,Capstone,30,"Mathe, Nathalie",W,1335 - 1705,XCR,Unidentified campus ROOM,Traditional,4,3,20
Spring 2026 Semester,202630,33317,GE,1502,Cornerstone of Engineering 2,300,"Keyvani Someh, Leila",TF,1225 - 1405,OAK,Aron Art Center C Ceramics 183,Traditional,4,40,40
Spring 2026 Semester,202630,33863,GE,1502,Cornerstone of Engineering 2,301,"Keyvani Someh, Leila",TF,1035 - 1215,OAK,Aron Art Center C Ceramics 183,Traditional,4,35,40
Spring 2026 Semester,202630,38965,HLTH,1203,Basic Clinical Skills for the Healthcare Professional,30,"Corey, Domenic",TF,1035 - 1215,TBA,TBA,Traditional,3,8,24
Spring 2026 Semester,202630,33318,HSCI,1105,Human Nutrition,30,"Liu, Jing",MWF,1730 - 1835,TBA,TBA,Traditional,4,8,22
Spring 2026 Semester,202630,33641,HIST,2211,The World Since 1945,31,"Brown, Timothy",MR,0845 - 1025,TBA,TBA,Traditional,4,11,48
Spring 2026 Semester,202630,37170,INFO,5002,Introduction to Python for Information Systems,30,"Mosaddegh, Abdolreza",F,1035 - 1355,TBA,TBA,Traditional,4,0,30
Spring 2026 Semester,202630,37183,INFO,5100,Application Engineering and Development,30,"Aityan, Sergey",T,1500 - 1820,TBA,TBA,Traditional,4,2,35
Spring 2026 Semester,202630,37194,INFO,5101,Lab for INFO 5100,30,"Aityan, Sergey",TBA,TBA,TBA,TBA,Traditional,TBA,2,35
Spring 2026 Semester,202630,37208,INFO,6105,Data Science Engineering Methods and Tools,30,"Mosaddegh, Abdolreza",W,1035 - 1355,TBA,TBA,Traditional,4,2,32
Spring 2026 Semester,202630,37220,INFO,6150,Web Design and User Experience Engineering,30,"Lopez Plascencia, Fernando Augusto",F,1630 - 1950,TBA,TBA,Traditional,4,6,30
Spring 2026 Semester,202630,37234,INFO,6205,Program Structure and Algorithms,30,"Nath, Siddhartha",F,1035 - 1355,TBA,TBA,Traditional,4,0,30
Spring 2026 Semester,202630,37243,INFO,6215,Business Analysis and Information Engineering,30,"Alonardo, Karen",R,1035 - 1355,TBA,TBA,Traditional,4,1,30
Spring 2026 Semester,202630,37281,INFO,7374,ST: Adv Techniques With LLM,30,"Mosaddegh, Abdolreza",M,1335 - 1655,TBA,TBA,Traditional,1-4,3,30
Spring 2026 Semester,202630,37289,INFO,7375,ST: Neural Networks &amp; AI,30,"Aityan, Sergey",R,1500 - 1820,TBA,TBA,Traditional,1-4,2,30
Spring 2026 Semester,202630,39540,INAM,2973,Intro to Wheel Throwing,30,TBA,M; M; M; M,1500 - 1800; 1500 - 1800; 1500 - 1800; 1500 - 1800,OAK; OAK; OAK; OAK,Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179,Traditional,1-4,8,8
Spring 2026 Semester,202630,40481,INAM,2973,Int. Product Design Software,31,TBA,M; M; M; M,0900 - 1200; 0900 - 1200; 0900 - 1200; 0900 - 1200,OAK; OAK; OAK; OAK,Aron Art Center C Ceramics 175A; Aron Art Center C Ceramics 175A; Aron Art Center C Ceramics 175A; Aron Art Center C Ceramics 175A,Traditional,1-4,2,12
Spring 2026 Semester,202630,40482,INAM,2973,Intro to Ceramics HandBuilding,32,TBA,R; R; R; R; R; R,1330 - 1530; 1330 - 1530; 1330 - 1530; 1330 - 1530; 1330 - 1530; 1330 - 1530,OAK; OAK; OAK; OAK; OAK; OAK,Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179,Traditional,1-4,3,8
Spring 2026 Semester,202630,40451,INAM,2973,Intro to Zine Making,33,TBA,T; T; T; T,1300 - 1600; 1300 - 1600; 1300 - 1600; 1300 - 1600,OAK; OAK; OAK; OAK,Aron Art Center F Photography 141; Aron Art Center F Photography 141; Aron Art Center F Photography 141; Aron Art Center F Photography 141,Traditional,1-4,0,15
Spring 2026 Semester,202630,40449,INAM,2973,CNC Furniture,34,TBA,R; R; R; R,1150 - 1440; 1150 - 1440; 1150 - 1440; 1150 - 1440,OAK; OAK; OAK; OAK,Aron Art Center C Ceramics 175A; Aron Art Center C Ceramics 175A; Aron Art Center C Ceramics 175A; Aron Art Center C Ceramics 175A,Traditional,1-4,5,10
Spring 2026 Semester,202630,40448,INAM,2973,Intro to Wheel Throwing,35,TBA,M; M; M; M,1500 - 1800; 1500 - 1800; 1500 - 1800; 1500 - 1800,OAK; OAK; OAK; OAK,Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179; Aron Art Center C Ceramics 179,Traditional,1-4,5,8
Spring 2026 Semester,202630,34044,INMI,1051,Introduction to Ethnic Studies,01,"Bauer, Natalee",TF,1035 - 1215,TBA,TBA,Traditional,4,6,20
Spring 2026 Semester,202630,38700,INMI,1100,Problem Solving for a Sustainable Future,01,"Adams, Ashley",MWR,1035 - 1140,TBA,TBA,Traditional,4,10,20
Spring 2026 Semester,202630,38702,INMI,2510,"China, Globalization, and the Environment",01,"Henderson, Mark",TF,1035 - 1215,TBA,TBA,Traditional,4,3,25
Spring 2026 Semester,202630,38704,INMI,2810,Sustainability and Persuasion,01,"Morier, Dean",MWF,1500 - 1605,TBA,TBA,Traditional,4,2,25
