Term,Term Code,CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Instructional Method,Credits,Enrollment Actual,Enrollment Maximum
Spring 2026 Semester,202630,32767,PHYS,1151,Physics for Engineering 1,30,"Alvis, Rosa",MW,1150 - 1330,TBA,TBA,Traditional,3,50,50
Spring 2026 Semester,202630,32768,PHYS,1152,Lab for PHYS 1151,300,"Alvis, Rosa",F,0730 - 1020,OAK,Natural Science 105,Traditional,1,25,25
Spring 2026 Semester,202630,34507,PHYS,1152,Lab for PHYS 1151,301,"Alvis, Rosa",W,1500 - 1750,OAK,Natural Science 105,Traditional,1,25,25
Spring 2026 Semester,202630,32769,PHYS,1153,Interactive Learning Seminar for PHYS 1151,30,"Alvis, Rosa",M,0800 - 1020,TBA,TBA,Traditional,1,50,50
Spring 2026 Semester,202630,32770,PHYS,1155,Physics for Engineering 2,30,"Alvis, Rosa",MWR,1335 - 1440,TBA,TBA,Traditional,3,19,20
Spring 2026 Semester,202630,32771,PHYS,1156,Lab for PHYS 1155,30,"Alvis, Rosa",W,0730 - 1020,OAK,Natural Science 105,Traditional,1,18,20
Spring 2026 Semester,202630,32772,PHYS,1157,Interactive Learning Seminar for PHYS 1155,30,"Alvis, Rosa",M,1500 - 1720,TBA,TBA,Traditional,1,19,20
Spring 2026 Semester,202630,32796,POLS,1160,International Relations,30,"Rudolph, Matthew",TR,1650 - 1830,TBA,TBA,Traditional,4,30,30
Spring 2026 Semester,202630,32797,POLS,2358,Current Issues in Cities and Suburbs,30,"Lahr, Darcelle",MWR,1035 - 1140,OAK,Graduate School of Business 125,Traditional,4,15,30
Spring 2026 Semester,202630,33320,PSYC,1101,Foundations of Psychology,31,"Bachen, Elizabeth",TF,1225 - 1405,TBA,TBA,Traditional,4,6,25
Spring 2026 Semester,202630,34121,PSYC,1101,Foundations of Psychology,32,"Tang, Xiangyun",R; T,1150 - 1330; 0845 - 1025,TBA,TBA,Traditional,4,13,35
Spring 2026 Semester,202630,34125,PSYC,1101,Foundations of Psychology,34,"Scott, Terri",TR,1500 - 1640,TBA,TBA,Traditional,4,16,35
Spring 2026 Semester,202630,34790,PSYC,3400,Personality,02,"Morier, Dean",TF,1225 - 1405,TBA,TBA,Traditional,4,25,25
Spring 2026 Semester,202630,34122,PSYC,3404,Developmental Psychology,07,"Tang, Xiangyun",TR,1500 - 1640,TBA,TBA,Traditional,4,25,25
