CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Credits,Enrollment Actual,Enrollment Maximum
38700,INMI,1100,Problem Solving for a Sustainable Future,01,"Adams, Ashley",MWR,1035 - 1140,TBA,TBA,4,11,20
38702,INMI,2510,"China, Globalization, and the Environment",01,"Henderson, Mark",TF,1035 - 1215,TBA,TBA,4,3,25
38704,INMI,2810,Sustainability and Persuasion,01,"Morier, Dean",MWF,1500 - 1605,TBA,TBA,4,2,25
39548,INMI,2820,"Climate Change, Health, and Resilience",01,"Bachen, Elizabeth",MWR,1335 - 1440,TBA,TBA,4,7,20
33328,INPR,2255,Experiential Entrepreneurship,30,TBA,R,0845 - 1205,TBA,TBA,4,0,20
38123,INSH,6300,Research Methods in the Social Sciences,02,"Wright, Dana",R,1715 - 2035,OAK,Lucie Stern 035,4,4,25
38126,INSH,6500,Statistical Analysis,02,"Evans, Samuel",T,1715 - 2035,OAK,Lucie Stern 035,4,5,25
33329,INTB,1203,International Business and Global Social Responsibility,31,"Drori, Netanel",TR,1500 - 1640,TBA,TBA,4,9,40
33330,INTB,1203,International Business and Global Social Responsibility,32,"Kaltenecker Retto de Queiroz, Evodio",MWF,1500 - 1605,TBA,TBA,4,36,40
33331,INTB,1203,International Business and Global Social Responsibility,33,"Kaltenecker Retto de Queiroz, Evodio",MWF,1615 - 1720,TBA,TBA,4,5,40
39549,INTB,3330,Digital Globalization,01,"Kaltenecker Retto de Queiroz, Evodio",MWR,1035 - 1140,TBA,TBA,4,6,30
39070,JRNL,1150,Understanding Today&amp;#8217;s News,03,"Dailey, Keli",TR,1500 - 1640,TBA,TBA,4,10,19
35117,LPSC,7311,Strategizing Public Policy,03,"Parker, Adam",W,1715 - 2035,TBA,TBA,4,8,25
34114,MISM,2301,Introduction to Information Systems and Digital Technologies,16,"Ruparel, Jay",MW,1150 - 1330,TBA,TBA,4,41,42
40499,MISM,6413,Designing Information Products for Transforming Business,01,TBA,TR,1500 - 1640,TBA,TBA,4,0,25
34138,MGSC,2301,Business Statistics,30,"Theokary, Carol",TF,1225 - 1405,TBA,TBA,4,37,43
33333,MGSC,2301,Business Statistics,31,"Kalluri, Ravikiran",TF,1035 - 1215,TBA,TBA,4,30,43
32791,MKTG,2201,Introduction to Marketing,30,"Cooney, Magdalena",TR,1500 - 1640,TBA,TBA,4,41,40
33323,MKTG,2201,Introduction to Marketing,31,"Cooney, Magdalena",TF,1225 - 1405,TBA,TBA,4,39,40
40189,MKTG,3720,Brand Management,04,"Leach, Leslie",MW,1150 - 1330,TBA,TBA,4,5,25
39594,MKTG,3945,Experiential B2B Marketing and Innovation: Industry Challenge in the Context of a Global Enterprise,01,"Karniouchina, Ekaterina; Ringham, Ursula",TR,1500 - 1640,TBA,TBA,4,10,25
34076,MATH,1215,Mathematical Thinking,06,"Nguyen, Vy Thi Khanh",R; T,1150 - 1330; 0845 - 1025,TBA,TBA,4,8,25
33327,MATH,1231,Calculus for Business and Economics,32,"Sparks, Roger",TR,1500 - 1640,TBA,TBA,4,39,50
33457,MATH,1231,Calculus for Business and Economics,33,"Sparks, Roger",TR,1650 - 1830,TBA,TBA,4,15,40
38710,MATH,1341,Calculus 1 for Science and Engineering,20,"Nguyen, Vy Thi Khanh",TR,1500 - 1640,TBA,TBA,4,37,45
38711,MATH,1341,Calculus 1 for Science and Engineering,21,"Nguyen, Vy Thi Khanh",TR,1650 - 1830,TBA,TBA,4,13,45
32766,MATH,1342,Calculus 2 for Science and Engineering,30,"Goyal, Rangoli",TF,1035 - 1215,TBA,TBA,4,23,50
34551,MATH,1342,Calculus 2 for Science and Engineering,31,"Goyal, Rangoli",TF,1225 - 1405,TBA,TBA,4,38,50
33324,MATH,1365,Introduction to Mathematical Reasoning,30,"Averett, Maia",MWF,1500 - 1605,TBA,TBA,4,16,35
33325,MATH,1365,Introduction to Mathematical Reasoning,31,"Averett, Maia",MWF,1615 - 1720,TBA,TBA,4,6,35
34078,MATH,1365,Introduction to Mathematical Reasoning,33,"Averett, Maia",MWF,1730 - 1835,TBA,TBA,4,0,35
33385,MATH,2321,Calculus 3 for Science and Engineering,30,"Pluta, Robert",MWR,1035 - 1140,TBA,TBA,4,35,35
34080,MATH,2341,Differential Equations and Linear Algebra for Engineering,12,"Pluta, Robert",TF,1035 - 1215,TBA,TBA,4,35,35
38723,MATH,7340,Statistics for Bioinformatics,05,"Bowser, Bradley",W,1800 - 2120,TBA,TBA,4,2,10
33702,MSCR,1320,Media and Social Change,30,"Dailey, Keli",TR,1650 - 1830,TBA,TBA,4,5,25
34190,MUST,1220,Introduction to Music Technology,32,"Fei, James",TR,1650 - 1830,TBA,TBA,4,4,15
33580,PHIL,1101,Introduction to Philosophy,03,"Gupta, Jay",TF,1035 - 1215,TBA,TBA,4,11,40
34060,PHIL,1115,Introduction to Logic,03,"Colomina-Alminana, Juan",MWR,1035 - 1140,TBA,TBA,4,18,40
33586,PHIL,1145,Technology and Human Values,11,"Gupta, Jay",MW,1150 - 1330,TBA,TBA,4,24,40
