CRN,Subject,Course Number,Title,Section,Instructor,Days,Time,Campus,Classroom,Credits,Enrollment Actual,Enrollment Maximum
34054,ECON,2316,Microeconomic Theory,12,"LI, Seamus",MR,0845 - 1025,TBA,TBA,4,12,35
39554,EDUT,6303,Field Experience 2: Educational Leadership,01,"Bauer, Natalee",R,1530 - 1710,TBA,TBA,2,1,10
39553,EDUT,6305,Human Resource Management in Education,01,"Galguera, Tomas",M,1715 - 2035,OAK,Education Department 106,4,2,10
39551,EDUT,6306,School Leadership,01,"Wright, Dana",T,1715 - 2035,TBA,TBA,4,2,10
39552,EDUT,6307,Fiscal and Business Services,01,TBA,W,1715 - 2035,OAK,Education Department 106,4,1,10
40125,EECE,5698,ST: Tapeout a CMOS Chip,05,"Nagulu, Aravind",MW,1150 - 1330,TBA,TBA,4,4,10
40312,EECE,7247,Radio Frequency Integrated Circuit Design,02,"Onabajo, Marvin",TF,0650 - 0830,OAK,Mills Hall 133,4,1,10
40464,EECE,7353,VLSI Design,01,"Kim, Yong-Bin",TF,1225 - 1405,TBA,TBA,4,2,10
36843,ENCP,6000,Career Management for Engineers,30,"Hatzievgenakis, Erica",M,1335 - 1515,TBA,TBA,1,2,34
35705,ENGL,2460,Multiethnic Literatures of the U.S.,31,"Guidotti-Hernandez, Nicole",MW,1150 - 1330,TBA,TBA,4,1,19
33310,ENGW,1102,First-Year Writing for Multilingual Writers,30,"Handler, Hayes",TF,1035 - 1215,TBA,TBA,4,3,15
32807,ENGW,1111,First-Year Writing,301,"Handler, Hayes",R; T,1150 - 1330; 0845 - 1025,TBA,TBA,4,11,17
32808,ENGW,1111,First-Year Writing,302,"Strychacz, Thomas",MWR,1035 - 1140,TBA,TBA,4,18,19
32793,ENGW,1111,First-Year Writing,303,"Ito, Susan",TR,1500 - 1640,TBA,TBA,4,19,19
33313,ENGW,1111,First-Year Writing,304,"Strychacz, Thomas",MWR,1335 - 1440,TBA,TBA,4,18,19
33314,ENGW,1111,First-Year Writing,305,"Hanley Cardozo, Kristen",MWR,1035 - 1140,TBA,TBA,4,18,19
33315,ENGW,1111,First-Year Writing,306,"Saxton, Kirsten",MW,1150 - 1330,TBA,TBA,4,19,19
32156,ENGW,1111,First-Year Writing,308,"Reiss, Kathryn",TF,1035 - 1215,TBA,TBA,4,6,19
